5 3 A #3 = 0, #5 = 5
7 3 BBBBBBBBAABABA #3 = 20, #5 = 0
7 2 BBBBBBBBAABABAAAAAABA #3 = 22, #5 = 0
7 2 BBBBBBBBAABABAAAAABA #3 = 22, #5 = 0
7 1 BBBBBBBBAABABAAABA #3 = 22, #5 = 0
7 2 BBBBBBBBAABABAAABAABA #3 = 24, #5 = 0
7 1 BBBBBBBBAABABAAABBA #3 = 24, #5 = 0
7 1 BBBBBBBBAABABAABAAABA #3 = 24, #5 = 0
7 2 BBBBBBBBAABABAABAAAB #3 = 26, #5 = 0
7 1 BBBBBBBBAABABAABAABA #3 = 24, #5 = 0
7 3 BBBBBBBBAABBAABA #3 = 22, #5 = 0
7 2 BBBBBBBBAABBAABAABA #3 = 24, #5 = 0
7 1 BBBBBBBBAABBAABBABA #3 = 26, #5 = 0
7 2 BBBBBBBBBAAAABAAAABAB #3 = 24, #5 = 0
7 2 BBBBBBBBBABAAAAAAABA #3 = 22, #5 = 0
7 2 BBBBBBBBBABAAAAABA #3 = 22, #5 = 0
7 2 BBBBBBBBBABAAAABAAAAB #3 = 24, #5 = 0
7 2 BBBBBBBBBABAABAAAAABA #3 = 24, #5 = 0
7 2 BBBBBBBBBABAABAABA #3 = 24, #5 = 0
7 2 BBBBBBBBBABAABAABABA #3 = 26, #5 = 0
7 2 BBBBBBBBBABAABABAAAAB #3 = 26, #5 = 0
7 2 BBBBBBBBBABAABABAABAB #3 = 28, #5 = 0
7 2 BBBBBBBBBABBABAAABA #3 = 26, #5 = 0
7 2 BBBBBBBBBABBABABAAABA #3 = 28, #5 = 0
7 2 BBBBBBBBBABBABABABBA #3 = 30, #5 = 0
7 4 BBBBBBBBBBBBA #3 = 24, #5 = 0
7 3 BBBBBBBBBBBBAAAAABA #3 = 26, #5 = 0
7 3 BBBBBBBBBBBBAAABAAAAB #3 = 28, #5 = 0
7 1 BBBBBBBBBBBBAAABABA #3 = 28, #5 = 0
7 1 BBBBBBBBBBBBAAABBAAAB #3 = 30, #5 = 0
7 2 BBBBBBBBBBBBBAABAABA #3 = 30, #5 = 0
7 2 BBBBBBBBBBBBBAABBAAAB #3 = 32, #5 = 0
7 3 BBBBBBBBBBBBBBBBBA #3 = 34, #5 = 0
7 2 BBBBBBBBBBBBBBBBBBA #3 = 36, #5 = 0
7 5 B #3 = 42, #5 = 0
7 3 CAAAABAAAAAAAABA #3 = 4, #5 = 2
7 3 CAAAABAABAAAABA #3 = 6, #5 = 2
7 3 CAAAABAABAAAABAAAAABA #3 = 8, #5 = 2
7 3 CAAAABAABAAAABAAAAAB #3 = 10, #5 = 2
7 3 CAAAABAABBAABA #3 = 8, #5 = 2
7 3 CAAAABAABBAABAAAAABA #3 = 10, #5 = 2
7 3 CAAAABAABBAABAAAABAAB #3 = 12, #5 = 2
7 3 CAAAABAABBAABBAAAAABA #3 = 12, #5 = 2
